id,name,place,population,adm1_name,adm2_name
way/316531153,Ivilivinzi,,,Zambezi,Kabbe
node/12171825925,Ilalangwena,village,,Zambezi,Kabbe
node/12171825924,Sintimbwi,village,,Zambezi,Kabbe
node/12171825890,Isikili,village,,Zambezi,Kabbe
relation/18290950,Makoma Makoma,,,Zambezi,Kabbe
node/13957631257,Makusi,hamlet,,Zambezi,Katima Mulilo Rural
node/13957631258,Sizimbukwa,village,,Zambezi,Katima Mulilo Rural
node/13957631256,Kapolota,hamlet,,Zambezi,Katima Mulilo Rural
node/5289060017,Mungweze,hamlet,,Zambezi,Katima Mulilo Rural
node/13957631250,Maritzburg,village,,Zambezi,Katima Mulilo Rural
node/13957631247,Kachepati,hamlet,,Zambezi,Katima Mulilo Rural
node/13957631249,Kasikili,hamlet,,Zambezi,Katima Mulilo Rural
node/13957631248,Kabula,hamlet,,Zambezi,Katima Mulilo Rural
node/9754812614,Ngoma,village,,Zambezi,Katima Mulilo Rural
node/2469647268,Ngoma Bridge,hamlet,,,
node/13957631251,Isuswa,village,,Zambezi,Katima Mulilo Rural
node/13957631252,Ioma,village,,Zambezi,Katima Mulilo Rural
node/3216076445,Ikumwe,village,,Zambezi,Katima Mulilo Rural
node/3948675505,Kazalui,hamlet,,Zambezi,Katima Mulilo Rural
node/9747573466,Silumbi,village,,Zambezi,Katima Mulilo Rural
node/9747566767,Kabubwana,hamlet,,Zambezi,Katima Mulilo Rural
node/13957631260,Libuyu,village,,Zambezi,Katima Mulilo Rural
node/5316199343,Muyako,village,,Zambezi,Katima Mulilo Rural
node/900940421,Iseke,village,,Zambezi,Katima Mulilo Rural
way/410317198,Chincimane,,,Zambezi,Sibbinda
node/8749906019,Lusu,hamlet,,Zambezi,Sibbinda
node/5289029310,Malundu,hamlet,,Zambezi,Sibbinda
node/5289029311,Kanono,village,,Zambezi,Sibbinda
node/8749958074,Kakoma,hamlet,,Zambezi,Sibbinda
node/5289029373,Shaile,hamlet,,Zambezi,Sibbinda
node/5321445892,Kaliangile,hamlet,,Zambezi,Kongola
way/1036112229,Makusi,,,Zambezi,Sibbinda
way/1053928840,Sibbinda,village,,Zambezi,Linyanti
way/1198588501,Solar Village,,,Zambezi,Linyanti
way/249062375,Makanga,village,,Zambezi,Linyanti
node/12074878227,Golden Halfway,hamlet,,Zambezi,Linyanti
way/1053709393,Masida,,,Zambezi,Linyanti
way/1053934301,Kansoko,,,Zambezi,Linyanti
way/1053926662,Sitanta,,,Zambezi,Linyanti
node/11551945105,Samulandela,hamlet,,Zambezi,Linyanti
way/955495314,Singobeka,,,Zambezi,Linyanti
node/5318475103,Kapani,village,,Zambezi,Linyanti
node/5289029374,Muketela,hamlet,,Zambezi,Sibbinda
node/3215893530,Kikiya,hamlet,,Zambezi,Sibbinda
node/3215893798,Sabelo,hamlet,,Zambezi,Linyanti
way/315470572,Linyanti,village,,Zambezi,Linyanti
node/3215883478,Maunga,hamlet,,Zambezi,Linyanti
way/552872626,Batubaja,,,Zambezi,Linyanti
node/11551945107,Mbilajwe,hamlet,,Zambezi,Linyanti
node/8843298820,Silonga,hamlet,,Zambezi,Linyanti
node/8843255385,Tokomela,hamlet,,Zambezi,Linyanti
