id,name,name_en,place,population,is_in,source,adm1_name,adm2_name
way/391965812,,,,,,,Zambezi,Kabbe
way/1242807280,,,,,,,Zambezi,Kabbe
way/316531153,Ivilivinzi,,,,,,Zambezi,Kabbe
node/12171825925,Ilalangwena,,village,,,,Zambezi,Kabbe
way/1242807281,Ivilivinzi,,,,,,Zambezi,Kabbe
way/1315042595,IVILIVINZI,,village,,,,Zambezi,Kabbe
node/12171825924,Sintimbwi,,village,,,,Zambezi,Kabbe
way/1242807282,Ivilivinzi,,,,,,Zambezi,Kabbe
node/12171825890,Isikili,,village,,,,Zambezi,Kabbe
way/392134287,,,,,,,Zambezi,Kabbe
relation/18290951,,,,,,,Zambezi,Kabbe
way/392152983,,,,,,,Zambezi,Kabbe
relation/18290950,Makoma Makoma,,,,,,Zambezi,Kabbe
way/1334250580,,,,,,,Zambezi,Kabbe
way/392152982,Makoma Makoma,,,,,,Zambezi,Kabbe
way/346942615,,,,,,,Zambezi,Katima Mulilo Rural
node/13957631257,Makusi,,hamlet,,,,Zambezi,Katima Mulilo Rural
way/392150659,,,,,,,Zambezi,Katima Mulilo Rural
way/392150657,,,,,,,Zambezi,Katima Mulilo Rural
node/13957631258,Sizimbukwa,,village,,,,Zambezi,Katima Mulilo Rural
node/13957631256,Kapolota,,hamlet,,,,Zambezi,Katima Mulilo Rural
node/5289060017,Mungweze,,hamlet,,,,Zambezi,Katima Mulilo Rural
node/13957631250,Maritzburg,,village,,,,Zambezi,Katima Mulilo Rural
node/13957631247,Kachepati,,hamlet,,,,Zambezi,Katima Mulilo Rural
node/13957631249,Kasikili,,hamlet,,,,Zambezi,Katima Mulilo Rural
node/13957631248,Kabula,,hamlet,,,,Zambezi,Katima Mulilo Rural
way/794251545,,,,,,,Zambezi,Katima Mulilo Rural
way/794251546,,,,,,,Zambezi,Katima Mulilo Rural
node/9754812614,Ngoma,,village,,,,Zambezi,Katima Mulilo Rural
node/2469647268,Ngoma Bridge,,hamlet,,,,,
node/13957631251,Isuswa,,village,,,,Zambezi,Katima Mulilo Rural
node/13957631252,Ioma,,village,,,,Zambezi,Katima Mulilo Rural
node/3216076242,,,hamlet,,,,Zambezi,Katima Mulilo Rural
way/409440456,,,,,,,Zambezi,Katima Mulilo Rural
node/3216076445,Ikumwe,,village,,,,Zambezi,Katima Mulilo Rural
way/346942607,,,,,,,Zambezi,Katima Mulilo Rural
node/3948675505,Kazalui,,hamlet,,,,Zambezi,Katima Mulilo Rural
node/9747573466,Silumbi,,village,,,,Zambezi,Katima Mulilo Rural
node/9747566767,Kabubwana,,hamlet,,,,Zambezi,Katima Mulilo Rural
node/13957631260,Libuyu,,village,,,,Zambezi,Katima Mulilo Rural
way/416445103,,,,,,,Zambezi,Katima Mulilo Rural
way/417946340,,,,,,,Zambezi,Katima Mulilo Rural
node/5316199343,Muyako,,village,,,,Zambezi,Katima Mulilo Rural
way/1060372853,,,hamlet,,,,Zambezi,Katima Mulilo Rural
node/900940421,Iseke,,village,,,,Zambezi,Katima Mulilo Rural
way/410317198,Chincimane,,,,,,Zambezi,Sibbinda
way/1242975162,,,,,,,Zambezi,Sibbinda
way/1242975163,,,,,,,Zambezi,Sibbinda
way/1242975164,,,,,,,Zambezi,Sibbinda
way/1242975165,,,,,,,Zambezi,Sibbinda
way/1242975161,,,,,,,Zambezi,Sibbinda
way/1242975160,,,,,,,Zambezi,Sibbinda
way/1242975183,,,,,,,Zambezi,Sibbinda
way/1242975185,,,,,,,Zambezi,Sibbinda
way/1242975190,,,,,,,Zambezi,Sibbinda
way/1242975189,,,,,,,Zambezi,Sibbinda
way/1242975188,,,,,,,Zambezi,Sibbinda
way/1242975187,,,,,,,Zambezi,Sibbinda
way/1242975186,,,,,,,Zambezi,Sibbinda
way/1242975191,,,,,,,Zambezi,Sibbinda
node/8749906019,Lusu,,hamlet,,,,Zambezi,Sibbinda
way/384981513,,,,,,,Zambezi,Sibbinda
way/1242975177,,,,,,,Zambezi,Sibbinda
way/1242975180,,,,,,,Zambezi,Sibbinda
way/1242975181,,,,,,,Zambezi,Sibbinda
way/1242975184,,,,,,,Zambezi,Sibbinda
node/5289029310,Malundu,,hamlet,,,,Zambezi,Sibbinda
way/1242975182,,,,,,,Zambezi,Sibbinda
way/1242975179,,,,,,,Zambezi,Sibbinda
